,Country,Code,2019,country,depressive_disorders,anxiety_disorders
93,Kyrgyz Republic,KGZ,1270.0,Kyrgyzstan,3.3816984,2.0599196
94,Cambodia,KHM,1560.0,Cambodia,2.9500995,4.579762
95,Kiribati,KIR,3600.0,Kiribati,2.9703078,4.098131
96,St. Kitts and Nevis,KNA,23280.0,Saint Kitts and Nevis,3.9269922,4.308869
97,"Korea, Rep.",KOR,33830.0,South Korea,2.091181,3.2213244
98,Kuwait,KWT,35240.0,Kuwait,4.0603004,4.599968
99,Lao PDR,LAO,2520.0,Laos,2.7468913,4.5706754
100,Lebanon,LBN,8650.0,Lebanon,4.652712,6.0510345
101,Liberia,LBR,610.0,Liberia,4.556289,3.5066519
102,Libya,LBY,11240.0,Libya,4.406427,5.324334
103,St. Lucia,LCA,11040.0,Saint Lucia,3.3162744,4.307126
104,Sri Lanka,LKA,4220.0,Sri Lanka,2.8662298,4.0355477
105,Lesotho,LSO,1280.0,Lesotho,5.511564,3.5554914
106,Lithuania,LTU,19090.0,Lithuania,3.9911947,4.2541876
107,Luxembourg,LUX,79180.0,Luxembourg,3.2193074,5.2770224
108,Latvia,LVA,17580.0,Latvia,3.7478287,3.748034
109,Morocco,MAR,3500.0,Morocco,5.07854,4.7997293
110,Monaco,MCO,,Monaco,4.0564504,5.501611
111,Moldova,MDA,4490.0,Moldova,3.22074,4.078755
112,Madagascar,MDG,510.0,Madagascar,4.737187,3.9632103
113,Maldives,MDV,10400.0,Maldives,2.9122725,3.5796337
114,Mexico,MEX,9930.0,Mexico,3.5358298,3.5132816
115,Marshall Islands,MHL,6640.0,Marshall Islands,2.8873966,4.0164247
116,North Macedonia,MKD,6520.0,North Macedonia,2.570906,3.5915322
117,Mali,MLI,820.0,Mali,3.5413845,2.7260087
118,Malta,MLT,29350.0,Malta,3.1311812,6.2475963
119,Myanmar,MMR,1370.0,Myanmar,2.1933033,3.9770174
120,Montenegro,MNE,9140.0,Montenegro,2.8178656,3.6586478
121,Mongolia,MNG,3840.0,Mongolia,3.9632094,2.1429229
122,Northern Mariana Islands,MNP,,Northern Mariana Islands,2.780081,4.0044084
123,Mozambique,MOZ,490.0,Mozambique,4.992671,4.035234
124,Mauritania,MRT,1750.0,Mauritania,3.6558447,2.7462342
125,Mauritius,MUS,12440.0,Mauritius,3.8047628,3.8150282
126,Malawi,MWI,550.0,Malawi,4.100136,3.8456526
127,Malaysia,MYS,10960.0,Malaysia,3.6630948,4.5992527
128,Namibia,NAM,5270.0,Namibia,3.6164615,3.49189
129,Niger,NER,590.0,Niger,4.235215,2.9678462
130,Nigeria,NGA,2110.0,Nigeria,3.8173978,2.9917774
131,Nicaragua,NIC,1880.0,Nicaragua,3.2548654,4.3657975
132,Netherlands,NLD,51930.0,Netherlands,3.5344012,6.7548013
133,Norway,NOR,82430.0,Norway,3.2382026,6.7358413
134,Nepal,NPL,1220.0,Nepal,4.8975983,3.2773163
135,Nauru,NRU,15130.0,Nauru,3.1496468,4.0565453
136,New Zealand,NZL,43050.0,New Zealand,3.7238638,7.263469
137,Oman,OMN,17820.0,Oman,3.962998,4.61154
138,Pakistan,PAK,1570.0,Pakistan,3.9425256,3.474194
139,Panama,PAN,15340.0,Panama,2.9369144,3.6566825
140,Peru,PER,6770.0,Peru,2.2116694,5.551791
141,Philippines,PHL,3770.0,Philippines,2.779254,4.563437
142,Palau,PLW,16320.0,Palau,3.089023,3.9466903
143,Papua New Guinea,PNG,2430.0,Papua New Guinea,3.072686,3.995107
144,Poland,POL,15330.0,Poland,2.2779574,3.082497
145,Puerto Rico,PRI,22040.0,Puerto Rico,2.8828056,4.442561
146,"Korea, Dem. People's Rep.",PRK,,North Korea,2.6769247,3.61212
147,Portugal,PRT,23200.0,Portugal,4.3940663,8.02761
148,Paraguay,PRY,5940.0,Paraguay,3.6945765,6.304892
149,West Bank and Gaza,PSE,4270.0,Palestine,6.1989517,5.5458045
150,Qatar,QAT,61750.0,Qatar,3.9513783,4.26387
151,Romania,ROU,12670.0,Romania,2.6501622,3.2856169
152,Russian Federation,RUS,11190.0,Russia,3.0799155,3.1336958
153,Rwanda,RWA,810.0,Rwanda,5.0970206,3.6533618
154,Saudi Arabia,SAU,23260.0,Saudi Arabia,4.216069,4.5544286
155,Sudan,SDN,760.0,Sudan,4.4230967,4.745971
156,Senegal,SEN,1460.0,Senegal,4.0294,2.8934357
157,Singapore,SGP,58810.0,Singapore,2.0081315,2.7080863
158,Solomon Islands,SLB,2390.0,Solomon Islands,3.0039446,4.0285625
159,Sierra Leone,SLE,520.0,Sierra Leone,4.392157,3.6633224
160,El Salvador,SLV,4090.0,El Salvador,3.4073691,4.4097867
161,San Marino,SMR,44390.0,San Marino,4.0918827,5.542622
162,Somalia,SOM,570.0,Somalia,4.84665,3.2728631
163,Serbia,SRB,7040.0,Serbia,2.814907,3.33539
164,South Sudan,SSD,,South Sudan,4.749942,4.9776773
165,Sao Tome and Principe,STP,1800.0,Sao Tome and Principe,3.7094643,3.0837884
166,Suriname,SUR,6020.0,Suriname,4.6881685,4.141955
167,Slovak Republic,SVK,19200.0,Slovakia,2.695262,3.4256656
168,Slovenia,SVN,26060.0,Slovenia,3.1152232,3.3891728
169,Sweden,SWE,56470.0,Sweden,4.116486,4.795127
170,Eswatini,SWZ,3600.0,Eswatini,4.4255295,3.4919646
171,Seychelles,SYC,18700.0,Seychelles,2.644615,3.7375588
172,Syrian Arab Republic,SYR,980.0,Syria,4.132855,5.60757
173,Chad,TCD,690.0,Chad,5.1334114,3.3696513
174,Togo,TGO,880.0,Togo,4.5008154,3.592497
175,Thailand,THA,7080.0,Thailand,2.847038,3.399738
176,Tajikistan,TJK,1070.0,Tajikistan,2.8172803,2.4035394
177,Turkmenistan,TKM,7130.0,Turkmenistan,3.0497415,2.3415134
178,Timor-Leste,TLS,2420.0,East Timor,2.804642,3.7955263
179,Tonga,TON,5130.0,Tonga,2.6947968,4.062976
180,Trinidad and Tobago,TTO,15740.0,Trinidad and Tobago,3.82637,3.8713686
181,Tunisia,TUN,3540.0,Tunisia,5.049405,5.164141
182,Turkiye,TUR,9800.0,Turkey,3.9422681,4.513604
183,Tuvalu,TUV,6650.0,Tuvalu,3.1250875,4.007321
184,Tanzania,TZA,1040.0,Tanzania,4.651242,3.8125863
185,Uganda,UGA,810.0,Uganda,6.5845194,4.080157
186,Ukraine,UKR,3310.0,Ukraine,3.8973033,3.133128
187,Uruguay,URY,18230.0,Uruguay,2.840908,5.1539445
188,United States,USA,66200.0,United States,4.375998,5.6977477
189,Uzbekistan,UZB,1880.0,Uzbekistan,3.164448,2.0256548
190,St. Vincent and the Grenadines,VCT,8640.0,Saint Vincent and the Grenadines,3.3676143,4.2993255
191,"Venezuela, RB",VEN,,Venezuela,3.2147944,3.9995134
192,Virgin Islands (U.S.),VIR,,United States Virgin Islands,3.3567483,4.365093
193,Viet Nam,VNM,3340.0,Vietnam,2.473061,2.2873394
194,Vanuatu,VUT,3590.0,Vanuatu,2.9744234,4.02928
195,Samoa,WSM,4230.0,Samoa,2.8027563,4.027854
196,"Yemen, Rep.",YEM,,Yemen,4.8953676,4.7837157
197,South Africa,ZAF,6740.0,South Africa,4.298678,3.786144
198,Zambia,ZMB,1390.0,Zambia,4.2194896,3.9692068
199,Zimbabwe,ZWE,1450.0,Zimbabwe,3.3954756,3.1370168
